2016-12-05 11:09:55,849 [Worker-42] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FlavosaurusJPA:FlavosaurusJPA:0.0.1-SNAPSHOT @ /Users/Jolteon/Flavosaurus/FlavosaurusJPA/pom.xml.
2016-12-05 11:09:56,848 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 11:09:56,879 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-05 11:09:56,894 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 11:09:56,894 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusJPA/src/test/resources
2016-12-05 11:09:56,917 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FlavosaurusJPA/src
2016-12-05 11:09:56,918 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /FlavosaurusJPA/src overlaps with sources folder /FlavosaurusJPA/src
2016-12-05 11:09:56,924 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FlavosaurusJPA/src/test/java because it overlaps with /FlavosaurusJPA/src
2016-12-05 11:09:57,028 [Worker-42] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-12-05 11:09:57,640 [Worker-42] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FlavosaurusJPA:FlavosaurusJPA:0.0.1-SNAPSHOT @ /Users/Jolteon/Flavosaurus/FlavosaurusJPA/pom.xml.
2016-12-05 11:09:58,020 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FlavosaurusJPA/src
2016-12-05 11:09:58,020 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /FlavosaurusJPA/src overlaps with sources folder /FlavosaurusJPA/src
2016-12-05 11:09:58,031 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FlavosaurusJPA/src/test/java because it overlaps with /FlavosaurusJPA/src
2016-12-05 11:09:58,127 [Worker-42] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-12-05 11:09:58,260 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 11:09:58,262 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-05 11:09:58,275 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 11:09:58,275 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusJPA/src/test/resources
