127.0.0.1 - - [21/Jan/2017:14:04:12 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:13 -0700] "GET /FlavosaurusREST/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:13 -0700] "GET /FlavosaurusREST/app_components/angular-route.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:13 -0700] "GET /FlavosaurusREST/fsApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:13 -0700] "GET /FlavosaurusREST/app_components/recipeComponent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:13 -0700] "GET /FlavosaurusREST/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:13 -0700] "GET /FlavosaurusREST/app_components/browseComponent.js HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:13 -0700] "GET /FlavosaurusREST/app_components/browseService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:28 -0700] "GET /FlavosaurusREST/ HTTP/1.1" 200 8805
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:28 -0700] "GET /FlavosaurusREST/angular.min.js HTTP/1.1" 200 166022
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:28 -0700] "GET /FlavosaurusREST/fsApp.js HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:28 -0700] "GET /FlavosaurusREST/app_components/browseService.js HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:28 -0700] "GET /FlavosaurusREST/app_components/angular-route.min.js HTTP/1.1" 200 4530
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:28 -0700] "GET /FlavosaurusREST/app_components/recipeComponent.js HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:28 -0700] "GET /FlavosaurusREST/app_components/browseComponent.js HTTP/1.1" 200 8090
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:29 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:33 -0700] "GET /FlavosaurusREST/angular.min.js.map HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:33 -0700] "GET /FlavosaurusREST/app_components/angular-route.min.js.map HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:49 -0700] "POST /FlavosaurusREST/api/ings/name HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:50 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 39655
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:53 -0700] "GET /FlavosaurusREST/api/ings/527 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:53 -0700] "GET /FlavosaurusREST/api/ings/527 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:54 -0700] "GET /FlavosaurusREST/api/ings/527/ccs HTTP/1.1" 200 40684
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:54 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 100185
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:58 -0700] "GET /FlavosaurusREST/api/ings/693 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:58 -0700] "GET /FlavosaurusREST/api/ings/693 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:58 -0700] "GET /FlavosaurusREST/api/ings/693/ccs HTTP/1.1" 200 19192
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:04:59 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 121302
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:05:03 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 100185
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:05:03 -0700] "GET /FlavosaurusREST/api/ings/693 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:05:04 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 121302
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:19 -0700] "GET /FlavosaurusREST/api/ings/494 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:19 -0700] "GET /FlavosaurusREST/api/ings/494 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:20 -0700] "GET /FlavosaurusREST/api/ings/494/ccs HTTP/1.1" 200 30917
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:20 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 165242
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:21 -0700] "GET /FlavosaurusREST/api/ings/526 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:21 -0700] "GET /FlavosaurusREST/api/ings/526 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:22 -0700] "GET /FlavosaurusREST/api/ings/526/ccs HTTP/1.1" 200 41250
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:22 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 223422
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:24 -0700] "GET /FlavosaurusREST/api/ings/548 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:24 -0700] "GET /FlavosaurusREST/api/ings/548 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:24 -0700] "GET /FlavosaurusREST/api/ings/548/ccs HTTP/1.1" 200 27811
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:24 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 259795
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:29 -0700] "GET /FlavosaurusREST/api/ings/532 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:29 -0700] "GET /FlavosaurusREST/api/ings/532 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:29 -0700] "GET /FlavosaurusREST/api/ings/532/ccs HTTP/1.1" 200 20603
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:30 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 287996
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:33 -0700] "GET /FlavosaurusREST/api/ings/540 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:33 -0700] "GET /FlavosaurusREST/api/ings/540 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:34 -0700] "GET /FlavosaurusREST/api/ings/540/ccs HTTP/1.1" 200 35412
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:07:34 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 336760
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:24 -0700] "GET /FlavosaurusREST/api/ings/582 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:24 -0700] "GET /FlavosaurusREST/api/ings/582 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:24 -0700] "GET /FlavosaurusREST/api/ings/582/ccs HTTP/1.1" 200 23004
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:25 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 362660
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:27 -0700] "GET /FlavosaurusREST/api/ings/579 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:27 -0700] "GET /FlavosaurusREST/api/ings/579 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:28 -0700] "GET /FlavosaurusREST/api/ings/579/ccs HTTP/1.1" 200 17065
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:08:28 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 381317
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:42:29 -0700] "GET /FlavosaurusREST/api/ings/542 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:42:29 -0700] "GET /FlavosaurusREST/api/ings/542 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:42:30 -0700] "GET /FlavosaurusREST/api/ings/542/ccs HTTP/1.1" 200 21993
0:0:0:0:0:0:0:1 - - [21/Jan/2017:14:42:30 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 409617
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:08 -0700] "GET /FlavosaurusREST/api/ings/534 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:08 -0700] "GET /FlavosaurusREST/api/ings/534 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:08 -0700] "GET /FlavosaurusREST/api/ings/534/ccs HTTP/1.1" 200 30158
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:08 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 450559
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:11 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 409617
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:12 -0700] "GET /FlavosaurusREST/api/ings/534 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:12 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 450559
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:13 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 409617
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:13 -0700] "GET /FlavosaurusREST/api/ings/534 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:14 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 450559
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:17 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 413560
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:26 -0700] "GET /FlavosaurusREST/api/ings/531 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:26 -0700] "GET /FlavosaurusREST/api/ings/531 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:26 -0700] "GET /FlavosaurusREST/api/ings/531/ccs HTTP/1.1" 200 27712
0:0:0:0:0:0:0:1 - - [21/Jan/2017:17:44:26 -0700] "POST /FlavosaurusREST/api/ings/rccs HTTP/1.1" 200 450559
